key,en,fr,es,it,de
.,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
Developer,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
English,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
a,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
application_exported_pdf,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),
auth.acceptTerms,I accept the,,J'accepte les,J'accepte les,(automatisch ins Deutsche übersetzt)
auth.alreadyRegistered,Already registered? Login,,Déjà inscrit ? Se connecter,Déjà inscrit ? Se connecter,(automatisch ins Deutsche übersetzt)
auth.createAccount,Create an account,,Créer un compte,Créer un compte,(automatisch ins Deutsche übersetzt)
auth.email,Email address,,Adresse email,Adresse email,(automatisch ins Deutsche übersetzt)
auth.errors.acceptTerms,You must accept the terms of service to sign up.,,Vous devez accepter les conditions générales pour vous inscrire.,Vous devez accepter les conditions générales pour vous inscrire.,(automatisch ins Deutsche übersetzt)
auth.errors.emailRequired,Please enter your email address,,Veuillez entrer votre adresse email,Veuillez entrer votre adresse email,(automatisch ins Deutsche übersetzt)
auth.errors.login,An error occurred during login,Erreur lors de la connexion,Une erreur est survenue lors de la connexion,Une erreur est survenue lors de la connexion,(automatisch ins Deutsche übersetzt)
auth.errors.passwordLength,Password must be at least 9 characters.,Le mot de passe doit comporter au moins 9 caractères.,Le mot de passe doit contenir au moins 9 caractères.,Le mot de passe doit contenir au moins 9 caractères.,(automatisch ins Deutsche übersetzt)
auth.errors.requiredFields,Please fill in all fields,Veuillez remplir tous les champs,Veuillez remplir tous les champs,Veuillez remplir tous les champs,(automatisch ins Deutsche übersetzt)
auth.errors.signup,An error occurred during sign up,Erreur lors de l'inscription,Une erreur est survenue lors de l'inscription,Une erreur est survenue lors de l'inscription,(automatisch ins Deutsche übersetzt)
