0;Transverse aux secteurs
;
1;Culture et production animale, chasse et services annexes
;
A1101;Conducteur / Conductrice d'engins agricoles
A1203;Agent / Agente d'entretien des espaces verts
A1208;Jardinier / Jardinière paysagiste
A1211;Chef / Cheffe d'équipe paysagiste
A1301;Technicien / Technicienne de culture maraîchère
A1302;Technicien / Technicienne agricole
A1303;Ingénieur / Ingénieure d'études et de recherche agricoles
A1304;Conseiller / Conseillère technique agricole
A1308;Technicien / Technicienne de l'insémination animale
A1309;Technicien / Technicienne d'élevage équin
A1310;Technicien / Technicienne de production animale
A1401;Cueilleur / Cueilleuse de fruits
A1402;Aide agricole en production végétale
A1403;Aide d'élevage agricole
A1405;Arboriculteur / Arboricultrice
A1407;Eleveur / Eleveuse de bovins
A1408;Eleveur / Eleveuse d'animaux sauvages
A1409;Aviculteur / Avicultrice
A1410;Eleveur / Eleveuse d'ovins
A1411;Eleveur / Eleveuse de porcins
A1412;Fromager-affineur / Fromagère-affineuse
A1414;Horticulteur / Horticultrice
A1416;Exploitant / Exploitante agricole
A1418;Viticulteur / Viticultrice
A1419;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente
A1420;Chef / Cheffe de culture responsable d'unité de production agricole
A1421;Palefrenier soigneur / Palefrenière soigneuse
A1426;Educateur canin / Educatrice canine
A1429;Apiculteur / Apicultrice
A1432;Osiériculteur / Osiéricultrice
A1433;Maraîcher / Maraîchère
A1434;Tabaculteur / Tabacultrice
A1435;Eleveur / Eleveuse d'animaux de compagnie
A1436;Conducteur / Conductrice de travaux en entreprise de travaux agricoles
A1437;Champignonniste
A1439;Eleveur / Eleveuse d'équidés
A1440;Cultivateur urbain / Cultivatrice urbaine
A1441;Pépiniériste
A1442;Eleveur / Eleveuse de lapins
A1444;Aide agricole en production fruitière
A1447;Herboriste
A1502;Maréchal-ferrant / Maréchale-ferrante
A1505;Animalier / Animalière de laboratoire
A1508;Dresseur animalier / Dresseuse animalière
A1510;Préparateur / Préparatrice d'équidés
D1106;Vendeur / Vendeuse en épicerie
D1116;Négociant / Négociante en bétail
G1210;Enseignant / Enseignante d'équitation
I1328;Conseiller / Conseillère en hydraulique agricole
I1603;Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles
L1403;Cavalier / Cavalière d'entraînement
N4117;Conducteur / Conductrice d'attelage
10;Industries alimentaires
;
A1303;Ingénieur / Ingénieure d'études et de recherche agricoles
A1412;Fromager-affineur / Fromagère-affineuse
D1101;Boucher / Bouchère
D1102;Boulanger / Boulangère
D1103;Charcutier-traiteur / Charcutière-traiteuse
D1104;Pâtissier / Pâtissière
D1105;Poissonnier / Poissonnière
D1107;Vendeur / Vendeuse grossiste en produits frais
D1108;Chef boulanger / Cheffe boulangère
D1109;Chef boucher / Cheffe bouchère
D1111;Chef / Cheffe de laboratoire en charcuterie
D1112;Chef charcutier-traiteur / Cheffe charcutière-traiteuse
D1114;Torréfacteur / Torréfactrice
D1115;Chocolatier / Chocolatière
D1117;Chef pâtissier / Cheffe pâtissière
D1118;Glacier / Glacière
D1502;Chef / Cheffe de rayon produits alimentaires
H1102;Ingénieur / Ingénieure d'affaires en industrie
H1108;Technicien / Technicienne support client en industrie
H1303;Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)
H1308;Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)
H1505;Nez
H1508;Assureur / Assureuse qualité industrie
H1515;Auditeur / Auditrice qualité en industrie
H1518;Responsable assurance qualité en industrie
H1520;Ingénieur / Ingénieure assurance qualité en industrie
H2101;Ouvrier / Ouvrière d'abattoir
H2102;Conducteur / Conductrice de ligne en industrie alimentaire
H2103;Opérateur / Opératrice de transformation des viandes
H2104;Fromager industriel / Fromagère industrielle
H2105;Agent / Agente de production en industrie alimentaire
H2504;Chef / Cheffe d'équipe en industrie
H2506;Chef / Cheffe de production en industrie agroalimentaire
H3301;Conducteur / Conductrice de ligne de conditionnement
H3302;Agent / Agente de conditionnement
H3303;Cuisinier / Cuisinière en industrie chimique
H3304;Chef / Cheffe de ligne conditionnement
H3305;Conducteur / Conductrice de machines de conditionnement
N1101;Cariste
N1103;Préparateur / Préparatrice de commandes
N1113;Préparateur / Préparatrice au drive
11;Fabrication de boissons
;
A1413;Brasseur / Brasseuse de bière
A1422;Caviste de chai
A1423;Œnologue
A1443;Cidrier / Cidrière
A1446;Maître / Maîtresse de chai
H2102;Conducteur / Conductrice de ligne en industrie alimentaire
H2105;Agent / Agente de production en industrie alimentaire
H2506;Chef / Cheffe de production en industrie agroalimentaire
H3301;Conducteur / Conductrice de ligne de conditionnement
H3304;Chef / Cheffe de ligne conditionnement
H3305;Conducteur / Conductrice de machines de conditionnement
12;Fabrication de produits a base de tabac
;
13;Fabrication de textiles
;
B1804;Brodeur / Brodeuse
B1806;Tapissier / Tapissière d'ameublement
B1810;Fourreur / Fourreuse
B1812;Modéliste
B1814;Directeur / Directrice de collection
H1201;Technicien / Technicienne coloriste en industrie
H1205;Modéliste industriel / Modéliste industrielle
H1232;Technicien / Technicienne d'études en industrie des matériaux souples
H1240;Agent / Agente de finissage couleurs et effets cuirs et peaux
H2401;Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés
H2402;Couturier industriel / Couturière industrielle de l'habillement
H2403;Conducteur / Conductrice de machines de fabrication de produits textiles
H2404;Conducteur / Conductrice de machine de production et transformation des fils
H2405;Conducteur / Conductrice de ligne de production de textiles non-tissés
H2406;Conducteur / Conductrice de machines de traitement textile
H2407;Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux
H2408;Imprimeur / Imprimeuse textile
H2409;Coupeur / Coupeuse en industrie textile et matériaux souples
